[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-1000 Blue#,#627
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Women's Mountain Shorts#,#2222
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Short-Sleeve Classic Jersey#,#2597
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-1000 Blue#,#1799
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#637
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#2264
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-200 Silver#,#1560
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-250 Black#,#2351
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-350-W Yellow#,#2525
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road Tire Tube#,#1769
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Women's Mountain Shorts#,#2318
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Black#,#1482
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#1277
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Racing Socks#,#1229
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Women's Mountain Shorts#,#576
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-1000 Yellow#,#973
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Blue#,#1052
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-750 Black#,#759
[Date].[Calendar Date].[Calendar Year].&[2013]#,#HL Road Tire#,#904
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Yellow#,#2703
[Date].[Calendar Date].[Calendar Year].&[2011]#,#LL Road Tire#,#2350
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Classic Vest#,#2887
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#1066
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#1650
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-400-W Silver#,#1673
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Blue#,#2203
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Half-Finger Gloves#,#2207
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#2157
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Fender Set - Mountain#,#2074
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-1000 Blue#,#2303
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Silver#,#2487
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring Tire Tube#,#2932
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road Bottle Cage#,#1356
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring Tire Tube#,#2419
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#1688
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Black#,#1136
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-350-W Yellow#,#1290
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Black#,#888
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#2071
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Fender Set - Mountain#,#1009
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#2958
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-150 Red#,#1681
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#1886
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Sport-100 Helmet#,#936
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Women's Mountain Shorts#,#2540
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Sport-100 Helmet#,#2013
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#2042
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-550-W Yellow#,#2914
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-350-W Yellow#,#2297
[Date].[Calendar Date].[Calendar Year].&[2010]#,#LL Road Tire#,#2278
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain Tire Tube#,#756
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Black#,#1040
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#1211
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#2044
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-250 Black#,#2182
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Black#,#959
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Black#,#2158
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-3000 Blue#,#1282
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Long-Sleeve Logo Jersey#,#2584
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-2000 Blue#,#1722
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#1077
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Patch Kit/8 Patches#,#1296
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Black#,#2862
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Silver#,#817
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-3000 Yellow#,#2839
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#624
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-400-W Silver#,#954
[Date].[Calendar Date].[Calendar Year].&[2012]#,#LL Road Tire#,#1010
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Short-Sleeve Classic Jersey#,#2274
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-550-W Yellow#,#1699
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Red#,#1733
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#1204
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-1000 Yellow#,#770
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#2605
[Date].[Calendar Date].[Calendar Year].&[2011]#,#ML Road Tire#,#1342
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#2758
[Date].[Calendar Date].[Calendar Year].&[2013]#,#ML Road Tire#,#809
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Blue#,#1346
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-500 Silver#,#2802
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-150 Red#,#2558
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-750 Black#,#1133
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Short-Sleeve Classic Jersey#,#1213
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#1346
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Black#,#830
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#2733
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-1000 Yellow#,#1234
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Short-Sleeve Classic Jersey#,#1166
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-1000 Blue#,#2069
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Black#,#1976
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Women's Mountain Shorts#,#715
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#2468
[Date].[Calendar Date].[Calendar Year].&[2011]#,#ML Mountain Tire#,#597
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-100 Black#,#849
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Silver#,#813
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road Tire Tube#,#2652
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Women's Mountain Shorts#,#1463
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#1427
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-350-W Yellow#,#2158
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#969
[Date].[Calendar Date].[Calendar Year].&[2011]#,#ML Road Tire#,#2739
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain Bottle Cage#,#1266
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1438
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Yellow#,#2044
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#1652
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1822
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Bike Wash - Dissolver#,#1625
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-500 Silver#,#1986
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Half-Finger Gloves#,#1096
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Black#,#1218
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Black#,#2526
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Black#,#1943
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Yellow#,#2417
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-400-W Silver#,#2764
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#640
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#2892
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#2275
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Silver#,#800
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Patch Kit/8 Patches#,#2904
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Short-Sleeve Classic Jersey#,#1932
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#2287
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Classic Vest#,#2227
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Red#,#1166
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#956
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Long-Sleeve Logo Jersey#,#2532
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Long-Sleeve Logo Jersey#,#1831
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#2178
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Water Bottle - 30 oz.#,#1734
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring Tire Tube#,#1066
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-400-W Silver#,#2092
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#1323
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Patch Kit/8 Patches#,#1247
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#1378
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#1447
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#2152
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#2881
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#2251
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#2727
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#2209
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-350-W Yellow#,#1229
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Silver#,#2050
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Silver#,#2642
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-1000 Yellow#,#2459
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#1102
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Half-Finger Gloves#,#1588
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-400-W Silver#,#535
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Long-Sleeve Logo Jersey#,#2516
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Hydration Pack - 70 oz.#,#1295
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Racing Socks#,#1054
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Women's Mountain Shorts#,#1404
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-500 Silver#,#2185
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Blue#,#2996
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-100 Silver#,#2378
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Black#,#1995
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Racing Socks#,#2415
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#2662
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#1128
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Red#,#2582
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Silver#,#2605
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#966
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-3000 Blue#,#2523
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Silver#,#1124
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#1597
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Fender Set - Mountain#,#2024
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Half-Finger Gloves#,#2732
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#742
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Patch Kit/8 Patches#,#2530
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-100 Silver#,#991
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-1000 Yellow#,#2952
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-750 Black#,#2924
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#2378
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#851
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road Bottle Cage#,#2347
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Yellow#,#2745
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#1386
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Red#,#827
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-1000 Yellow#,#1849
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Black#,#2435
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Sport-100 Helmet#,#1506
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road Bottle Cage#,#741
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-750 Black#,#1518
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#991
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1670
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Short-Sleeve Classic Jersey#,#2728
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Black#,#894
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-150 Red#,#2200
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Black#,#2435
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Black#,#689
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Hitch Rack - 4-Bike#,#2550
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Yellow#,#1530
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Women's Mountain Shorts#,#1704
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1648
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-1000 Yellow#,#1537
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-500 Black#,#761
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Black#,#1256
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#2189
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#1263
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Black#,#2387
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#1173
[Date].[Calendar Date].[Calendar Year].&[2011]#,#LL Road Tire#,#1791
[Date].[Calendar Date].[Calendar Year].&[2011]#,#ML Road Tire#,#1270
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Black#,#600
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#2772
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#1047
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain Tire Tube#,#1115
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-550-W Yellow#,#1100
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Bike Wash - Dissolver#,#965
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#2831
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-1000 Blue#,#1046
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain Tire Tube#,#1963
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Black#,#1634
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-500 Silver#,#2216
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-250 Red#,#873
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Touring-3000 Blue#,#2467
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Blue#,#2822
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Short-Sleeve Classic Jersey#,#2875
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-250 Black#,#1629
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-350-W Yellow#,#2501
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Black#,#2305
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-3000 Blue#,#1692
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1377
[Date].[Calendar Date].[Calendar Year].&[2011]#,#LL Road Tire#,#1425
